5,1,Which one of the following extends a private network across public networks?,local area network,virtual private network,enterprise private network,storage area network,option_b
6,1,Which one of the following extends a private network across public networks?,local area network,virtual private network,enterprise private network,storage area network,option_b
7,1,"When collection of various computers seems a single coherent system to its client, then it is called",computer network,virtual private network,enterprise private network,storage area network,option_a
8,1,"When collection of various computers seems a single coherent system to its client, then it is called",computer network,virtual private network,enterprise private network,storage area network,option_a
9,1,In computer network nodes are,local area network,virtual private network,enterprise private network,storage area network,option_d
10,1,The structure or format of data is called,local area network,virtual private network,enterprise private network,storage area network,option_d
11,1,ICMP is primarily used for,local area network,virtual private network,enterprise private network,storage area network,option_a
12,1,The network layer protocol of internet is,computer network,virtual private network,enterprise private network,storage area network,option_d
13,1,The network layer protocol of internet is,computer network,virtual private network,enterprise private network,storage area network,option_c
14,1,Which one of the following is a transport layer protocol ?,computer network,virtual private network,enterprise private network,storage area network,option_d
15,1,Which one of the following is a transport layer protocol ?,computer network,virtual private network,enterprise private network,storage area network,option_c
16,1,Transmission control protocol is,computer network,virtual private network,enterprise private network,storage area network,option_d
17,1,Two devices are in network if,a process in one device is able to exchange information with a process in another device,a process is running on both devices,PIDs of the processes running of different devices are same,none of the mentioned,option_a
18,1,The structure or format of data is called,Syntax,Semantics,Struct,None of the mentioned,option_a
19,1,A _____ is a device that forwards packets between networks by processing the routing information included in the packet.,bridge,firewall,router,all of the mentioned,option_d
20,1,The first Network,CNNET,NSFNET,ASAPNET,ARPANET,option_d
21,1,Which of this is not a network edge device ?,PC,Smartphones,Servers,Switch,option_b
22,1,A set of rules that governs data communication,Protocols,Standards,RFCs,None of the mentioned,option_a
23,1,Three or more devices share a link in ________ connection,Unipoint,Multipoint,Point to point,None of the mentioned,option_d
24,1,The network layer concerns with,bits,frames,packets,none of the mentioned,option_c
25,1,The 4 byte IP address consists of,network address,host address,both (a) and (b),none of the mentioned,option_c
26,1,The network layer protocol of internet is,ethernet,internet protocol,hypertext transfer protocol,none of the mentioned,option_b
27,1,ICMP is primarily used for,error and diagnostic functions,addressing,forwarding,none of the mentioned,option_a
28,1,What is the access point (AP) in wireless LAN?,device that allows wireless devices to connect to a wired network,wireless devices itself,both (a) and (b),none of the mentioned,option_b
29,1,In wireless distribution system,multiple access point are inter-connected with each other,there is no access point,only one access point exists,none of the mentioned,option_a
30,1,What is WPA?,wi-fi protected access,wired protected access,wired process access,wi-fi process access,option_a
31,1,Transport layer aggregates data from different applications into a single stream before passing it to,network layer,data link layer,application layer,physical layer,option_a
32,1,Which one of the following is a transport layer protocol used in internet ?,TCP,udp,both (a) and (b),none of the mentioned,option_c
33,1,Transmission control protocol is,connection oriented protocol,uses a three way handshake to establish a connection,recievs data from application as a single stream,all of the mentioned,option_b
